iter	RMSE
0	0.1586710581
1	0.1524614874
2	0.1462743564
3	0.1444408313
4	0.1400221319
5	0.1356270441
6	0.1330933717
7	0.1313251616
8	0.1293176188
9	0.1281948568
10	0.1264357609
11	0.1256650043
12	0.124505455
13	0.1242397806
14	0.1238044983
15	0.1237541622
16	0.122405592
17	0.1208365693
18	0.1204037163
19	0.1193224898
20	0.1191382573
21	0.1190440843
22	0.1189808161
23	0.1186829381
24	0.1174771319
25	0.1174310797
26	0.1172979862
27	0.1171769084
28	0.1171082476
29	0.1170733503
30	0.1167215928
31	0.1163290702
32	0.1158930237
33	0.1158791389
34	0.1154879632
35	0.1154795655
36	0.1153897046
37	0.1151709979
38	0.1151244798
39	0.1147391488
40	0.114695019
41	0.1146304795
42	0.1141171003
43	0.1132176073
44	0.1131798293
45	0.1130990968
46	0.1130229817
47	0.1129600117
48	0.112759032
49	0.1126864086
50	0.1126791153
51	0.1124173544
52	0.1122097421
53	0.1120712748
54	0.1120158136
55	0.1118702411
56	0.1117208348
57	0.1114625079
58	0.1113556618
59	0.1107609407
60	0.1106252773
61	0.1104943702
62	0.1103539176
63	0.1099283397
64	0.1096551764
65	0.109607821
66	0.1092720656
67	0.1092392925
68	0.1092017318
69	0.1089649333
70	0.1087980515
71	0.1078247317
72	0.1077716812
73	0.1076425031
74	0.1071771259
75	0.1070053547
76	0.106883263
77	0.1067221778
78	0.1066784337
79	0.1065891966
80	0.1065718168
81	0.1065200974
82	0.1064996133
83	0.1063773676
84	0.1063440424
85	0.106337376
86	0.1053915824
87	0.1053617024
88	0.1052071659
89	0.1050762472
90	0.105029962
91	0.1049266798
92	0.1045784928
93	0.1042854108
94	0.1042694285
95	0.1041139983
96	0.103949581
97	0.1039327097
98	0.1035825073
99	0.103341321
