iter	Passed	Remaining
0	152	15088
1	167	8192
2	187	6066
3	210	5043
4	225	4276
5	245	3845
6	265	3533
7	286	3294
8	306	3097
9	326	2938
10	346	2802
11	367	2696
12	390	2610
13	412	2530
14	433	2454
15	456	2395
16	477	2329
17	498	2268
18	518	2210
19	538	2155
20	558	2102
21	579	2053
22	601	2012
23	623	1973
24	644	1932
25	664	1890
26	684	1850
27	704	1812
28	725	1775
29	745	1738
30	765	1703
31	785	1669
32	806	1638
33	829	1609
34	851	1580
35	872	1550
36	892	1519
37	912	1488
38	931	1457
39	951	1427
40	971	1398
41	991	1369
42	1018	1350
43	1041	1325
44	1070	1308
45	1092	1282
46	1112	1254
47	1132	1227
48	1152	1199
49	1172	1172
50	1193	1146
51	1214	1120
52	1234	1094
53	1257	1071
54	1280	1047
55	1306	1026
56	1328	1002
57	1349	977
58	1369	951
59	1390	926
60	1410	901
61	1432	877
62	1456	855
63	1478	831
64	1498	807
65	1519	782
66	1539	758
67	1559	733
68	1578	709
69	1598	685
70	1618	661
71	1639	637
72	1660	614
73	1682	591
74	1705	568
75	1727	545
76	1748	522
77	1768	498
78	1789	475
79	1811	452
80	1832	429
81	1852	406
82	1873	383
83	1895	360
84	1916	338
85	1937	315
86	1958	292
87	1978	269
88	1998	247
89	2020	224
90	2040	201
91	2061	179
92	2082	156
93	2115	135
94	2137	112
95	2159	89
96	2182	67
97	2204	44
98	2225	22
99	2247	0
